No.;Steam electrode gas flow [SLPM];H2O [%];H2 [%];Air electrode gas  flow [SLPM];Temperature at air outlet [°C];Current density [mA/cm2]
1;9.7;90;10;10;835;100
2;9.7;90;10;10;835;200
3;9.7;90;10;10;835;300
4;9.7;90;10;10;835;500
5;10.9;80;20;10;835;100
6;10.9;80;20;10;835;200
7;10.9;80;20;10;835;300
8;10.9;80;20;10;835;600
9;12.4;70;30;10;835;100
10;12.4;70;30;10;835;200
11;12.4;70;30;10;835;300
12;12.4;70;30;10;835;400
13;12.4;70;30;10;835;500
14;12.4;70;30;10;835;600
15;12.4;70;30;10;835;700
16;14.5;60;40;10;835;100
17;14.5;60;40;10;835;200
18;14.5;60;40;10;835;300
19;14.5;60;40;10;835;500
20;14.5;60;40;10;835;600
21;14.5;60;40;10;835;700
22;17.5;50;50;10;835;100
23;17.5;50;50;10;835;200
24;17.5;50;50;10;835;300
25;17.5;50;50;10;835;400
26;17.5;50;50;10;835;500
27;17.5;50;50;10;835;600
28;17.5;50;50;10;835;700
29;9.7;90;10;10;810;100
30;9.7;90;10;10;810;200
31;9.7;90;10;10;810;300
32;9.7;90;10;10;810;500
33;10.9;80;20;10;810;100
34;10.9;80;20;10;810;200
35;10.9;80;20;10;810;300
36;10.9;80;20;10;810;400
37;10.9;80;20;10;810;700
38;14.5;60;40;10;810;100
39;14.5;60;40;10;810;200
40;14.5;60;40;10;810;300
41;14.5;60;40;10;810;400
42;14.5;60;40;10;810;500
43;9.7;90;10;10;785;100
44;9.7;90;10;10;785;200
45;9.7;90;10;10;785;300
46;9.7;90;10;10;785;500
47;10.9;80;20;10;785;100
48;10.9;80;20;10;785;200
49;10.9;80;20;10;785;300
50;10.9;80;20;10;785;400
51;14.5;60;40;10;785;100
52;14.5;60;40;10;785;200
53;14.5;60;40;10;785;300
54;14.5;60;40;10;785;400
55;14.5;60;40;10;785;500
56;9.6;80;20;10;835;100
57;9.6;80;20;10;835;200
58;9.6;80;20;10;835;300
59;9.6;80;20;10;835;400
60;9.6;80;20;10;835;500
61;8.6;90;10;10;835;300
62;8.6;90;10;10;835;500
63;8.6;90;10;10;835;700
64;12.8;60;40;10;835;100
65;12.8;60;40;10;835;200
66;12.8;60;40;10;835;300
67;12.8;60;40;10;835;400
68;12.8;60;40;10;835;500
69;12.8;60;40;10;835;700
70;9.6;80;20;10;810;100
71;9.6;80;20;10;810;300
72;9.6;80;20;10;810;500
73;8.6;90;10;10;810;300
74;8.6;90;10;10;810;500
75;12.8;60;40;10;810;100
76;12.8;60;40;10;810;300
77;12.8;60;40;10;810;500
78;9.6;80;20;10;785;100
79;9.6;80;20;10;785;200
80;9.6;80;20;10;785;300
81;9.6;80;20;10;785;500
82;10.9;80;20;20;785;500
83;9.7;90;10;20;785;500
84;14.5;60;40;20;785;500
85;9.7;90;10;10;795;100
86;9.7;90;10;10;795;200
87;9.7;90;10;10;795;300
88;9.7;90;10;10;795;400
89;9.7;90;10;10;795;500
90;10.9;80;20;10;795;100
91;10.9;80;20;10;795;200
92;10.9;80;20;10;795;300
93;10.9;80;20;10;795;400
94;10.9;80;20;10;795;500
95;10.9;80;20;20;835;400
96;14.5;60;40;20;835;400
97;14.5;60;40;20;835;700
98;10.9;80;20;20;810;400
99;9.7;90;10;20;810;400
100;14.5;60;40;20;810;400
